City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Isangel,VU,77.11,broken clouds,-19.55,169.2667,Tanna Lodge
3,Mahebourg,MU,80.26,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
7,Atuona,PF,79.34,light rain,-9.8,-139.0333,Villa Enata
12,Buchanan,LR,76.96,broken clouds,5.8808,-10.0467,Kamaneahn Hotel Inc
13,Cayenne,GF,75.24,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
15,Merauke,ID,80.19,broken clouds,-8.4667,140.3333,
20,Ypsonas,CY,78.49,few clouds,34.6884,32.9574,Club Aphrodite
29,Jibuti,DJ,85.42,overcast clouds,11.5,42.5,Orchid Main Camp Goubet
31,Cabo San Lucas,MX,85.41,overcast clouds,22.8909,-109.9124,Tesoro Los Cabos
40,San Patricio,US,80.46,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
41,Bambous Virieux,MU,80.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
42,Axim,GH,79.25,broken clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
44,Vaini,TO,77.16,few clouds,-21.2,-175.2,Keleti Beach Resort
49,Bajitpur,BD,89.69,overcast clouds,24.2167,90.95,Bokultola
53,Naica,MX,83.8,scattered clouds,27.85,-105.4833,Departamentos Nicole
54,Avarua,CK,80.65,light rain,-21.2078,-159.775,Paradise Inn
58,Bara,NG,78.58,scattered clouds,10.3744,10.7288,
65,Banda Aceh,ID,81.97,overcast clouds,5.5577,95.3222,Sulthan Hotel International
70,Karratha,AU,81.23,moderate rain,-20.7377,116.8463,ibis Styles Karratha
71,Georgetown,MY,80.89,light rain,5.4112,100.3354,Cititel Penang
74,Bull Savanna,JM,75.13,scattered clouds,17.8868,-77.5902,Big Red's
75,Batticaloa,LK,83.86,overcast clouds,7.7102,81.6924,Grand Star Guest House
82,Saint-Philippe,RE,80.15,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
85,Sola,VU,77.22,overcast clouds,-13.8833,167.55,Leumerus Bungalows
86,Sigli,ID,85.14,overcast clouds,5.3848,95.9609,Losmen Dua Mali
87,Vila Velha,BR,75.15,overcast clouds,-20.3297,-40.2925,Quality Suites Vila Velha
98,Kapaa,US,80.58,few clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
101,San Juan Del Sur,NI,80.08,overcast clouds,11.2529,-85.8705,Nuestra Casa
103,Carnarvon,AU,84.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
105,Cockburn Town,TC,78.64,clear sky,21.4612,-71.1419,Osprey Beach Hotel
106,Souillac,MU,81.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
111,Sinnamary,GF,77.07,moderate rain,5.3833,-52.95,ALETHEIA Appartement Sinnamary
112,Hithadhoo,MV,83.73,overcast clouds,-0.6,73.0833,Scoop Guest House
