City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Isangel,VU,-19.55,169.2667,77.11,73,75,4.03,broken clouds
1,Cape Town,ZA,-33.9258,18.4232,57.11,93,98,6.62,overcast clouds
2,Petershagen,DE,52.3833,8.9667,52.21,90,75,14.94,broken clouds
3,Mahebourg,MU,-20.4081,57.7,80.26,88,75,4.61,broken clouds
4,Ponta Do Sol,PT,32.6667,-17.1,65.71,75,100,4.74,overcast clouds
5,Miyako,JP,39.6367,141.9525,63.43,68,100,10.67,moderate rain
6,Dikson,RU,73.5069,80.5464,30.2,87,99,11.07,overcast clouds
7,Atuona,PF,-9.8,-139.0333,79.34,76,77,16.26,light rain
8,Eureka,US,40.8021,-124.1637,51.67,77,75,4.63,broken clouds
9,Ulkan,RU,57.243,107.3223,49.89,28,63,7.47,broken clouds
10,Castro,BR,-24.7911,-50.0119,58.05,64,100,1.9,overcast clouds
11,Ushuaia,AR,-54.8,-68.3,29.86,93,40,23.02,scattered clouds
12,Buchanan,LR,5.8808,-10.0467,76.96,87,69,2.19,broken clouds
13,Cayenne,GF,4.9333,-52.3333,75.24,90,75,4.0,moderate rain
14,Airai,TL,-8.9266,125.4092,71.22,63,41,5.5,scattered clouds
15,Merauke,ID,-8.4667,140.3333,80.19,78,66,11.92,broken clouds
16,Barrow,US,71.2906,-156.7887,32.02,86,90,16.11,overcast clouds
17,Hilo,US,19.7297,-155.09,74.93,85,90,5.75,overcast clouds
18,Yellowknife,CA,62.456,-114.3525,46.92,46,90,4.0,overcast clouds
19,Rikitea,PF,-23.1203,-134.9692,73.63,69,94,17.27,overcast clouds
20,Ypsonas,CY,34.6884,32.9574,78.49,94,20,2.84,few clouds
21,Sorland,NO,67.667,12.6934,42.87,82,62,19.95,broken clouds
22,Albany,US,42.6001,-73.9662,66.61,91,95,6.26,overcast clouds
23,Tuktoyaktuk,CA,69.4541,-133.0374,28.4,86,90,6.91,overcast clouds
24,Oranjemund,NA,-28.55,16.4333,56.43,81,76,5.66,broken clouds
25,Port Alfred,ZA,-33.5906,26.891,60.48,89,84,10.63,broken clouds
26,Hobart,AU,-42.8794,147.3294,49.91,70,75,1.01,broken clouds
27,Esperance,AU,-33.8667,121.9,67.17,44,100,16.69,overcast clouds
28,Busselton,AU,-33.65,115.3333,67.08,63,100,18.52,overcast clouds
29,Jibuti,DJ,11.5,42.5,85.42,63,100,7.9,overcast clouds
30,Kruisfontein,ZA,-34.0033,24.7314,49.89,80,94,5.84,overcast clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,85.41,55,90,15.5,overcast clouds
32,East London,ZA,-33.0153,27.9116,56.34,94,0,2.3,clear sky
33,Ancud,CL,-41.8697,-73.8203,57.42,94,100,25.68,light rain
34,Jamestown,US,42.097,-79.2353,61.3,88,90,8.05,overcast clouds
35,Hermanus,ZA,-34.4187,19.2345,55.9,73,84,5.55,broken clouds
36,Saldanha,ZA,-33.0117,17.9442,57.31,85,98,3.51,overcast clouds
37,Utiel,ES,39.5667,-1.2,53.65,79,88,1.54,overcast clouds
38,Heinsberg,DE,51.0667,6.0833,53.19,83,75,12.93,light rain
39,Toora-Khem,RU,52.4675,96.11,66.92,47,81,2.28,broken clouds
40,San Patricio,US,28.017,-97.5169,80.46,89,1,12.3,clear sky
41,Bambous Virieux,MU,-20.3428,57.7575,80.22,88,75,4.99,broken clouds
42,Axim,GH,4.8699,-2.2405,79.25,86,84,6.89,broken clouds
43,Mnogovershinnyy,RU,53.9353,139.9242,48.58,61,76,4.34,light rain
44,Vaini,TO,-21.2,-175.2,77.16,73,20,6.91,few clouds
45,Fairbanks,US,64.8378,-147.7164,62.6,41,75,9.22,broken clouds
46,Great Bend,US,38.3645,-98.7648,73.53,53,1,14.97,clear sky
47,Hohhot,CN,40.8106,111.6522,61.09,44,40,28.45,light rain
48,Pevek,RU,69.7008,170.3133,33.44,90,21,1.72,few clouds
49,Bajitpur,BD,24.2167,90.95,89.69,51,99,16.31,overcast clouds
50,Arraial Do Cabo,BR,-22.9661,-42.0278,71.08,88,100,7.76,overcast clouds
51,Bardiyah,LY,31.7561,25.0865,70.75,69,1,12.93,clear sky
52,New Norfolk,AU,-42.7826,147.0587,49.57,66,81,1.01,broken clouds
53,Naica,MX,27.85,-105.4833,83.8,16,30,8.79,scattered clouds
54,Avarua,CK,-21.2078,-159.775,80.65,83,40,8.05,light rain
55,Clyde River,CA,70.4692,-68.5914,23.02,86,54,8.57,broken clouds
56,Punta Arenas,CL,-53.15,-70.9167,30.31,74,20,7.9,few clouds
57,Katsuura,JP,35.1333,140.3,63.19,94,100,17.34,light rain
58,Bara,NG,10.3744,10.7288,78.58,72,29,8.55,scattered clouds
59,Margate,GB,51.3813,1.3862,52.21,79,12,3.0,few clouds
60,Mataura,NZ,-46.1927,168.8643,49.48,78,100,2.73,light rain
61,Tasiilaq,GL,65.6145,-37.6368,41.16,94,100,24.0,overcast clouds
62,Usinsk,RU,65.9939,57.5281,40.35,51,56,10.02,broken clouds
63,Upernavik,GL,72.7868,-56.1549,29.84,89,70,5.64,broken clouds
64,Puerto Ayora,EC,-0.7393,-90.3518,74.55,93,60,4.0,broken clouds
65,Banda Aceh,ID,5.5577,95.3222,81.97,76,100,11.39,overcast clouds
66,Onalaska,US,43.8844,-91.2351,57.06,71,1,6.91,clear sky
67,Tiksi,RU,71.6872,128.8694,38.73,86,47,4.14,scattered clouds
68,Kinel-Cherkassy,RU,53.4706,51.4743,63.66,54,0,10.47,clear sky
69,Olafsvik,IS,64.8945,-23.7142,45.36,86,55,6.33,broken clouds
70,Karratha,AU,-20.7377,116.8463,81.23,44,92,18.54,moderate rain
71,Georgetown,MY,5.4112,100.3354,80.89,92,40,4.07,light rain
72,Prince Rupert,CA,54.3161,-130.3201,49.69,93,90,2.3,light rain
73,Bluff,NZ,-46.6,168.3333,49.8,74,100,7.58,moderate rain
74,Bull Savanna,JM,17.8868,-77.5902,75.13,88,27,5.23,scattered clouds
75,Batticaloa,LK,7.7102,81.6924,83.86,68,100,20.45,overcast clouds
76,Lebu,CL,-37.6167,-73.65,56.79,96,100,7.0,overcast clouds
77,Saint Anthony,US,45.0205,-93.218,56.93,60,40,1.01,scattered clouds
78,Helena,US,46.5927,-112.0361,47.39,85,1,3.44,clear sky
79,Port Elizabeth,ZA,-33.918,25.5701,53.89,87,0,3.44,clear sky
80,Port Hardy,CA,50.6996,-127.4199,48.38,93,90,17.27,light rain
81,Mar Del Plata,AR,-38.0023,-57.5575,53.13,59,0,7.0,clear sky
82,Saint-Philippe,RE,-21.3585,55.7679,80.15,77,17,1.7,few clouds
83,Pangnirtung,CA,66.1451,-65.7125,22.96,86,100,5.82,overcast clouds
84,Bredasdorp,ZA,-34.5322,20.0403,52.92,87,100,3.62,overcast clouds
85,Sola,VU,-13.8833,167.55,77.22,64,95,13.44,overcast clouds
86,Sigli,ID,5.3848,95.9609,85.14,63,100,0.72,overcast clouds
87,Vila Velha,BR,-20.3297,-40.2925,75.15,94,90,2.3,overcast clouds
88,Vila Do Maio,CV,15.1333,-23.2167,70.59,84,8,17.09,clear sky
89,Thompson,CA,55.7435,-97.8558,26.76,86,1,0.0,clear sky
90,Qaqortoq,GL,60.7167,-46.0333,36.1,85,98,7.09,overcast clouds
91,Huaura,PE,-11.07,-77.5994,65.75,90,40,2.91,scattered clouds
92,Chuy,UY,-33.6971,-53.4616,53.64,85,37,11.5,scattered clouds
93,Qostanay,KZ,53.1667,63.5833,66.49,42,0,15.66,clear sky
94,Maceio,BR,-9.6658,-35.7353,74.64,94,75,11.23,broken clouds
95,Flinders,AU,-34.5833,150.8552,67.21,50,0,5.99,clear sky
96,Maldonado,UY,-34.6667,-54.9167,57.22,90,37,12.08,scattered clouds
97,Imbituba,BR,-28.24,-48.6703,58.89,80,11,5.61,few clouds
98,Kapaa,US,22.0752,-159.319,80.58,79,20,8.88,few clouds
99,Zelenogorskiy,RU,55.0333,87.0,73.92,51,90,9.31,overcast clouds
100,Grunwald,DE,48.0395,11.5232,48.22,89,90,1.01,overcast clouds
101,San Juan Del Sur,NI,11.2529,-85.8705,80.08,81,100,22.19,overcast clouds
102,Severo-Kurilsk,RU,50.6789,156.125,39.2,94,100,9.57,overcast clouds
103,Carnarvon,AU,-24.8667,113.6333,84.27,30,2,12.66,clear sky
104,Port Macquarie,AU,-31.4333,152.9167,66.88,54,29,9.46,scattered clouds
